"","x"
"1",0
"2",-2
"3",2
"4",0
"5",1
"6",3
"7",0
"8",0
"9",1
"10",-1
"11",1
"12",1
"13",-1
"14",-1
"15",-6
"16",0
"17",1
"18",-1
"19",0
"20",0
"21",1
"22",1
"23",0
"24",2
"25",1
"26",1
"27",0
"28",0
"29",-2
"30",0
"31",0
"32",0
"33",-2
"34",0
"35",0
"36",1
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",2
"44",0
"45",1
"46",-1
"47",0
"48",0
"49",1
"50",0
"51",-1
"52",-1
"53",2
"54",-1
"55",0
"56",1
"57",1
"58",0
"59",1
"60",1
"61",-2
"62",0
"63",-1
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",-1
"72",0
"73",-1
"74",0
"75",1
"76",0
"77",1
"78",-1
"79",0
"80",1
"81",0
"82",0
"83",2
"84",0
"85",0
"86",-1
"87",1
"88",-1
"89",0
"90",0
"91",1
"92",0
"93",1
"94",2
"95",1
"96",1
"97",1
"98",2
"99",1
"100",2
"101",0
"102",0
"103",1
"104",1
"105",1
"106",0
"107",0
"108",0
"109",2
"110",0
"111",-1
"112",0
"113",0
"114",-1
"115",0
"116",1
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",1
"124",0
"125",0
"126",0
"127",0
"128",1
"129",1
"130",1
"131",0
"132",-2
"133",4
"134",0
"135",3
"136",1
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",1
"146",1
"147",-1
"148",0
"149",0
"150",0
"151",1
"152",0
"153",1
"154",1
"155",2
"156",1
"157",-1
"158",1
"159",1
"160",0
"161",0
"162",1
"163",0
"164",1
"165",0
"166",2
"167",0
"168",0
"169",1
"170",0
"171",-2
"172",1
"173",1
"174",2
"175",0
"176",3
"177",0
"178",0
"179",-1
"180",1
"181",1
"182",2
"183",1
"184",1
"185",1
"186",0
"187",1
"188",2
"189",1
"190",0
"191",2
"192",2
"193",-2
"194",-1
"195",1
"196",0
"197",0
"198",1
"199",-1
"200",0
"201",2
"202",0
"203",-1
"204",-1
"205",0
"206",0
"207",2
"208",-1
"209",1
"210",1
"211",0
"212",0
"213",0
"214",0
"215",-2
"216",1
"217",2
"218",0
"219",0
"220",-1
"221",0
"222",0
"223",0
"224",0
"225",0
"226",-1
"227",0
"228",2
"229",2
"230",1
"231",1
"232",0
"233",0
"234",1
"235",1
"236",0
"237",-1
"238",2
"239",0
"240",-1
"241",0
"242",1
"243",0
"244",1
"245",1
"246",-3
"247",0
"248",1
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",-1
"256",1
"257",2
"258",-1
"259",0
"260",0
"261",1
"262",0
"263",1
"264",1
"265",0
"266",0
"267",1
"268",0
"269",2
"270",-1
"271",-1
"272",0
"273",0
"274",-1
"275",0
"276",0
"277",-1
"278",-1
"279",-1
"280",0
"281",2
"282",0
"283",1
"284",0
"285",1
"286",0
"287",0
"288",0
"289",2
"290",0
"291",0
"292",0
"293",1
"294",0
"295",0
"296",0
"297",-1
"298",1
"299",0
"300",0
"301",0
"302",1
"303",0
"304",1
"305",-1
"306",1
"307",1
"308",0
"309",1
"310",1
"311",1
"312",0
"313",0
"314",1
"315",0
"316",-2
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",5
"324",1
"325",1
"326",3
"327",0
"328",0
"329",0
"330",0
"331",-1
"332",1
"333",0
"334",0
"335",0
"336",0
"337",2
"338",0
"339",-1
"340",1
"341",0
"342",1
"343",-1
"344",0
"345",0
"346",1
"347",0
"348",0
"349",1
"350",1
"351",-1
"352",-1
"353",1
"354",0
"355",1
"356",0
"357",2
"358",2
"359",0
"360",0
"361",-1
"362",1
"363",1
"364",0
"365",1
"366",1
"367",1
"368",0
"369",0
"370",1
"371",0
"372",0
"373",0
"374",2
"375",0
"376",1
"377",2
"378",2
"379",0
"380",0
"381",-1
"382",-1
"383",0
"384",1
"385",1
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",4
"393",0
"394",0
"395",0
"396",0
"397",-1
"398",1
"399",0
"400",1
"401",0
"402",0
"403",1
"404",1
"405",0
"406",0
"407",0
"408",0
"409",1
"410",1
"411",0
"412",0
"413",0
"414",0
"415",-1
"416",-1
"417",0
"418",0
"419",-1
"420",0
"421",-1
"422",0
"423",-1
"424",1
"425",1
"426",1
"427",1
"428",2
"429",1
"430",-1
"431",0
"432",1
"433",1
"434",0
"435",0
"436",1
"437",2
"438",-2
"439",0
"440",0
"441",0
"442",1
"443",0
"444",2
"445",0
"446",1
"447",1
"448",2
"449",0
"450",0
"451",0
"452",1
"453",-1
"454",0
"455",0
"456",1
"457",-1
"458",2
"459",0
"460",0
"461",0
"462",0
"463",-1
"464",0
"465",0
"466",1
"467",0
"468",3
"469",0
"470",0
"471",0
"472",0
"473",-1
"474",1
"475",1
"476",0
"477",1
"478",0
"479",-2
"480",0
"481",0
"482",0
"483",0
"484",0
"485",1
"486",0
"487",1
"488",-3
"489",0
"490",0
"491",0
"492",1
"493",0
"494",1
"495",1
"496",0
"497",-1
"498",0
"499",1
"500",-1
"501",0
"502",2
"503",1
"504",0
"505",0
"506",0
"507",0
"508",1
"509",0
"510",1
"511",0
"512",1
"513",0
"514",0
"515",0
"516",0
"517",1
"518",0
"519",1
"520",3
"521",0
"522",1
"523",0
"524",0
"525",0
"526",1
"527",3
"528",-3
"529",0
"530",3
"531",0
"532",0
"533",3
"534",0
"535",1
"536",1
"537",1
"538",0
"539",0
"540",3
"541",0
"542",0
"543",0
"544",1
"545",1
"546",1
"547",0
"548",1
"549",1
"550",0
"551",-1
"552",1
"553",0
"554",-1
"555",0
"556",2
"557",0
"558",1
"559",0
"560",1
"561",-1
"562",0
"563",0
"564",0
"565",-1
"566",1
"567",-2
"568",1
"569",0
"570",0
"571",1
"572",1
"573",0
"574",-1
"575",1
"576",0
"577",2
"578",1
"579",-1
"580",1
"581",-1
"582",0
"583",1
"584",1
"585",1
"586",0
"587",-1
"588",0
"589",0
"590",0
"591",3
"592",0
"593",0
"594",4
"595",-1
"596",0
"597",0
"598",1
"599",0
"600",1
"601",0
"602",-1
"603",2
"604",0
"605",0
"606",0
"607",0
"608",1
"609",1
"610",0
"611",0
"612",1
"613",1
"614",-2
"615",-1
"616",0
"617",2
"618",1
"619",0
"620",1
"621",0
"622",0
"623",0
"624",0
"625",0
"626",-1
"627",0
"628",0
"629",1
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",1
"640",1
"641",0
"642",1
"643",2
"644",-1
"645",0
"646",0
"647",0
"648",0
"649",-1
"650",0
"651",2
"652",0
"653",-2
"654",0
"655",0
"656",0
"657",0
"658",-1
"659",1
"660",0
"661",0
"662",2
"663",0
"664",0
"665",0
"666",1
"667",0
"668",0
"669",1
"670",0
"671",0
"672",0
"673",-1
"674",-1
"675",-4
"676",0
"677",0
"678",0
"679",0
"680",1
"681",0
"682",0
"683",-1
"684",0
"685",1
"686",1
"687",1
"688",0
"689",0
"690",1
"691",-1
"692",0
"693",2
"694",1
"695",-1
"696",1
"697",1
"698",0
"699",0
"700",1
"701",0
"702",0
"703",-2
"704",-1
"705",0
"706",0
"707",0
"708",-1
"709",1
"710",-1
"711",0
"712",0
"713",0
"714",7
"715",0
"716",0
"717",0
"718",0
"719",-1
"720",1
"721",1
"722",0
"723",0
"724",0
"725",1
"726",-1
"727",1
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",3
"735",1
"736",1
"737",2
"738",0
"739",-1
"740",0
"741",-1
"742",0
"743",-1
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",1
"752",0
"753",0
"754",0
"755",0
"756",0
"757",1
"758",0
"759",0
"760",0
"761",0
"762",3
"763",0
"764",1
"765",0
"766",1
"767",-4
"768",0
"769",0
"770",1
"771",0
"772",-1
"773",0
"774",0
"775",-1
"776",0
"777",0
"778",0
"779",0
"780",2
"781",0
"782",0
"783",0
"784",1
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",1
"793",0
"794",0
"795",0
"796",0
"797",2
"798",0
"799",1
"800",0
"801",0
"802",0
"803",0
"804",0
"805",0
"806",1
"807",-6
"808",0
"809",0
"810",0
"811",1
"812",2
"813",0
"814",0
"815",2
"816",1
"817",1
"818",0
"819",0
"820",0
"821",0
"822",0
"823",1
"824",1
"825",0
"826",2
"827",0
"828",0
"829",1
"830",1
"831",0
"832",2
"833",0
"834",0
"835",2
"836",0
"837",0
"838",-1
"839",1
"840",0
"841",0
"842",1
"843",2
"844",0
"845",-1
"846",1
"847",0
"848",0
"849",-1
"850",1
"851",1
"852",0
"853",1
"854",-2
"855",0
"856",-1
"857",0
"858",0
"859",0
"860",1
"861",-1
"862",0
"863",1
"864",0
"865",3
"866",0
"867",1
"868",1
"869",0
"870",0
"871",0
"872",0
"873",0
"874",1
"875",-1
"876",0
"877",1
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",1
"885",0
"886",1
"887",1
"888",0
"889",0
"890",0
"891",0
"892",0
"893",2
"894",0
"895",1
"896",0
"897",2
"898",0
"899",0
"900",0
"901",1
"902",1
"903",0
"904",0
"905",0
"906",1
"907",0
"908",0
"909",2
"910",0
"911",0
"912",0
"913",1
"914",0
"915",1
"916",1
"917",0
"918",-1
"919",-3
"920",1
"921",1
"922",0
"923",-2
"924",2
"925",1
"926",1
"927",0
"928",0
"929",0
"930",-1
"931",-1
"932",-1
"933",1
"934",0
"935",1
"936",0
"937",1
"938",0
"939",0
"940",0
"941",0
"942",1
"943",0
"944",1
"945",1
"946",1
"947",0
"948",0
"949",0
"950",0
"951",1
"952",0
"953",2
"954",0
"955",-1
"956",0
"957",0
"958",2
"959",0
"960",-1
"961",1
"962",-3
"963",0
"964",3
"965",0
"966",0
"967",0
"968",-1
"969",0
"970",0
"971",1
"972",-1
"973",0
"974",1
"975",1
"976",-1
"977",-1
"978",1
"979",0
"980",0
"981",0
"982",0
"983",0
"984",0
"985",1
"986",0
"987",0
"988",0
"989",1
"990",4
"991",0
"992",0
"993",1
"994",3
"995",1
"996",1
"997",-1
"998",0
"999",3
"1000",0
"1001",0
"1002",1
"1003",1
"1004",-1
"1005",1
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",1
"1012",0
"1013",0
"1014",-1
"1015",0
"1016",0
"1017",0
"1018",1
"1019",1
"1020",0
"1021",1
"1022",2
"1023",-1
"1024",1
"1025",0
"1026",0
"1027",0
"1028",-1
"1029",1
"1030",-1
"1031",1
"1032",0
"1033",-2
"1034",1
"1035",0
"1036",1
"1037",1
"1038",0
"1039",1
"1040",0
"1041",1
"1042",1
"1043",0
"1044",1
"1045",-1
"1046",3
"1047",1
"1048",1
"1049",2
"1050",0
"1051",0
"1052",0
"1053",0
"1054",1
"1055",3
"1056",0
"1057",0
"1058",2
"1059",0
"1060",0
"1061",1
"1062",2
"1063",2
"1064",0
"1065",0
"1066",2
"1067",0
"1068",6
"1069",0
"1070",0
"1071",0
"1072",0
"1073",0
"1074",0
"1075",0
"1076",0
"1077",-1
"1078",0
"1079",0
"1080",0
"1081",2
"1082",0
"1083",0
"1084",0
"1085",-1
"1086",1
"1087",0
"1088",-1
"1089",0
"1090",2
"1091",0
"1092",3
"1093",0
"1094",0
"1095",0
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
"1101",1
"1102",-1
"1103",0
"1104",0
"1105",0
"1106",1
"1107",2
"1108",0
"1109",0
"1110",-1
"1111",0
"1112",-2
"1113",0
"1114",0
"1115",0
"1116",0
"1117",2
"1118",0
"1119",0
"1120",2
"1121",0
"1122",0
"1123",2
"1124",1
"1125",0
"1126",1
"1127",1
"1128",0
"1129",-2
"1130",-1
"1131",0
"1132",0
"1133",-1
"1134",0
"1135",1
"1136",2
"1137",1
"1138",0
"1139",0
"1140",-2
"1141",1
"1142",0
"1143",0
"1144",0
"1145",0
"1146",0
"1147",1
"1148",0
"1149",1
"1150",-1
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",1
"1159",-1
"1160",0
"1161",0
"1162",2
"1163",1
"1164",0
"1165",2
"1166",1
"1167",0
"1168",1
"1169",0
"1170",-1
"1171",0
"1172",0
"1173",1
"1174",1
"1175",0
"1176",1
"1177",0
"1178",0
"1179",0
"1180",1
"1181",-1
"1182",0
"1183",1
"1184",-1
"1185",2
"1186",2
"1187",2
"1188",-1
"1189",0
"1190",3
"1191",1
"1192",0
"1193",0
"1194",0
"1195",-1
"1196",0
"1197",-1
"1198",0
"1199",0
"1200",1
"1201",0
"1202",0
"1203",-1
"1204",0
"1205",0
"1206",-1
"1207",-1
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0
"1214",0
"1215",0
"1216",1
"1217",-1
"1218",-1
"1219",0
"1220",0
"1221",-1
"1222",0
"1223",-1
"1224",1
"1225",0
"1226",-1
"1227",1
"1228",0
"1229",0
"1230",2
"1231",0
"1232",-2
"1233",1
"1234",0
"1235",0
"1236",0
"1237",1
"1238",-1
"1239",0
"1240",0
"1241",2
"1242",0
"1243",1
"1244",1
"1245",0
"1246",1
"1247",1
"1248",0
"1249",1
"1250",0
"1251",1
"1252",2
"1253",-4
"1254",1
"1255",1
"1256",0
"1257",-1
"1258",1
"1259",2
"1260",-1
"1261",-1
"1262",0
"1263",0
"1264",0
"1265",0
"1266",-1
"1267",0
"1268",-1
"1269",2
"1270",1
"1271",0
"1272",1
"1273",-1
"1274",0
"1275",-1
"1276",0
"1277",0
"1278",-1
"1279",1
"1280",1
"1281",-1
"1282",0
"1283",1
"1284",-1
"1285",-2
"1286",1
"1287",1
"1288",0
"1289",-1
"1290",-1
"1291",4
"1292",1
"1293",0
"1294",0
"1295",1
"1296",1
"1297",0
"1298",1
"1299",2
"1300",1
"1301",0
"1302",0
"1303",2
"1304",1
"1305",2
"1306",-1
"1307",1
"1308",1
"1309",0
"1310",0
"1311",0
"1312",1
"1313",1
"1314",-2
"1315",1
"1316",1
"1317",-1
"1318",0
"1319",0
"1320",2
"1321",0
"1322",0
"1323",1
"1324",0
"1325",0
"1326",0
"1327",1
"1328",0
"1329",4
"1330",0
"1331",0
"1332",0
"1333",1
"1334",4
"1335",1
"1336",0
"1337",1
"1338",0
"1339",2
"1340",0
"1341",0
"1342",-2
"1343",0
"1344",0
"1345",0
"1346",0
"1347",0
"1348",1
"1349",0
"1350",-1
"1351",2
"1352",1
"1353",0
"1354",-1
"1355",0
"1356",0
"1357",0
"1358",0
"1359",-1
"1360",2
"1361",0
"1362",4
"1363",0
"1364",0
"1365",-1
"1366",-1
"1367",0
"1368",2
"1369",1
"1370",0
"1371",0
"1372",0
"1373",1
"1374",0
"1375",0
"1376",2
"1377",0
"1378",0
"1379",0
"1380",-1
"1381",0
"1382",-1
"1383",1
"1384",2
"1385",1
"1386",2
"1387",0
"1388",0
"1389",1
"1390",0
"1391",0
"1392",0
"1393",0
"1394",0
"1395",0
"1396",1
"1397",1
"1398",2
"1399",0
"1400",0
"1401",0
"1402",0
"1403",1
"1404",1
"1405",-3
"1406",2
"1407",0
"1408",-1
"1409",3
"1410",1
"1411",0
"1412",0
